Id;Name;City;Country;Code
1;Goroka Airport;Goroka;Papua New Guinea;GKA
2;Madang Airport;Madang;Papua New Guinea;MAG
3;Mount Hagen Kagamuga Airport;Mount Hagen;Papua New Guinea;HGU
4;Nadzab Airport;Nadzab;Papua New Guinea;LAE
5;Port Moresby Jacksons International Airport;Port Moresby;Papua New Guinea;POM
6;Wewak International Airport;Wewak;Papua New Guinea;WWK
7;Narsarsuaq Airport;Narssarssuaq;Greenland;UAK
8;Godthaab / Nuuk Airport;Godthaab;Greenland;GOH
9;Kangerlussuaq Airport;Sondrestrom;Greenland;SFJ
10;Thule Air Base;Thule;Greenland;THU
11;Akureyri Airport;Akureyri;Iceland;AEY
12;Egilsstaðir Airport;Egilsstadir;Iceland;EGS
13;Hornafjörður Airport;Hofn;Iceland;HFN
14;Húsavík Airport;Husavik;Iceland;HZK
15;Ísafjörður Airport;Isafjordur;Iceland;IFJ
16;Keflavik International Airport;Keflavik;Iceland;KEF
17;Patreksfjörður Airport;Patreksfjordur;Iceland;PFJ
18;Reykjavik Airport;Reykjavik;Iceland;RKV
19;Siglufjörður Airport;Siglufjordur;Iceland;SIJ
20;Vestmannaeyjar Airport;Vestmannaeyjar;Iceland;VEY
21;Sault Ste Marie Airport;Sault Sainte Marie;Canada;YAM
22;Winnipeg / St. Andrews Airport;Winnipeg;Canada;\N
23;Halifax / CFB Shearwater Heliport;Halifax;Canada;\N
24;St. Anthony Airport;St. Anthony;Canada;YAY
25;Tofino / Long Beach Airport;Tofino;Canada;YAZ
26;Kugaaruk Airport;Pelly Bay;Canada;YBB
27;Baie Comeau Airport;Baie Comeau;Canada;YBC
28;CFB Bagotville;Bagotville;Canada;YBG
29;Baker Lake Airport;Baker Lake;Canada;YBK
30;Campbell River Airport;Campbell River;Canada;YBL
31;Brandon Municipal Airport;Brandon;Canada;YBR
32;Cambridge Bay Airport;Cambridge Bay;Canada;YCB
33;Nanaimo Airport;Nanaimo;Canada;YCD
34;Castlegar/West Kootenay Regional Airport;Castlegar;Canada;YCG
35;Miramichi Airport;Chatham;Canada;YCH
36;Charlo Airport;Charlo;Canada;YCL
37;Kugluktuk Airport;Coppermine;Canada;YCO
38;Coronation Airport;Coronation;Canada;YCT
39;Chilliwack Airport;Chilliwack;Canada;YCW
40;Clyde River Airport;Clyde River;Canada;YCY
41;Coral Harbour Airport;Coral Harbour;Canada;YZS
42;Dawson City Airport;Dawson;Canada;YDA
43;Burwash Airport;Burwash;Canada;YDB
44;Princeton Airport;Princeton;Canada;\N
45;Deer Lake Airport;Deer Lake;Canada;YDF
46;Dease Lake Airport;Dease Lake;Canada;YDL
47;Dauphin Barker Airport;Dauphin;Canada;YDN
48;Dawson Creek Airport;Dawson Creek;Canada;YDQ
49;Edmonton International Airport;Edmonton;Canada;YEG
50;Arviat Airport;Eskimo Point;Canada;YEK
51;Estevan Airport;Estevan;Canada;YEN
52;Edson Airport;Edson;Canada;YET
53;Eureka Airport;Eureka;Canada;YEU
54;Inuvik Mike Zubko Airport;Inuvik;Canada;YEV
55;Iqaluit Airport;Iqaluit;Canada;YFB
56;Fredericton Airport;Fredericton;Canada;YFC
57;Forestville Airport;Forestville;Canada;YFE
58;Flin Flon Airport;Flin Flon;Canada;YFO
59;Fort Resolution Airport;Fort Resolution;Canada;YFR
60;Fort Simpson Airport;Fort Simpson;Canada;YFS
61;Kingston Norman Rogers Airport;Kingston;Canada;YGK
62;La Grande Rivière Airport;La Grande Riviere;Canada;YGL
63;Gaspé (Michel-Pouliot) Airport;Gaspe;Canada;YGP
64;Geraldton Greenstone Regional Airport;Geraldton;Canada;YGQ
65;Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada;YGR
66;Hudson Bay Airport;Hudson Bay;Canada;YHB
67;Dryden Regional Airport;Dryden;Canada;YHD
68;Ulukhaktok Holman Airport;Holman Island;Canada;YHI
69;Gjoa Haven Airport;Gjoa Haven;Canada;YHK
70;John C. Munro Hamilton International Airport;Hamilton;Canada;YHM
71;Montréal / Saint-Hubert Airport;Montreal;Canada;YHU
72;Hay River / Merlyn Carter Airport;Hay River;Canada;YHY
73;Halifax / Stanfield International Airport;Halifax;Canada;YHZ
74;Atikokan Municipal Airport;Atikokan;Canada;YIB
75;Pond Inlet Airport;Pond Inlet;Canada;YIO
76;St Jean Airport;St. Jean;Canada;YJN
77;Stephenville Airport;Stephenville;Canada;YJT
78;Kamloops Airport;Kamloops;Canada;YKA
79;Waterloo Airport;Waterloo;Canada;YKF
80;Schefferville Airport;Schefferville;Canada;YKL
81;Kindersley Airport;Kindersley;Canada;YKY
82;Buttonville Municipal Airport;Toronto;Canada;YKZ
83;Chapleau Airport;Chapleau;Canada;YLD
84;Meadow Lake Airport;Meadow Lake;Canada;YLJ
85;Lloydminster Airport;Lloydminster;Canada;YLL
86;Alert Airport;Alert;Canada;YLT
87;Kelowna International Airport;Kelowna;Canada;YLW
88;Mayo Airport;Mayo;Canada;YMA
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;YMJ
90;Fort McMurray Airport;Fort Mcmurray;Canada;YMM
91;Moosonee Airport;Moosonee;Canada;YMO
92;Maniwaki Airport;Maniwaki;Canada;YMW
93;Montreal International (Mirabel) Airport;Montreal;Canada;YMX
94;Natashquan Airport;Natashquan;Canada;YNA
95;Ottawa / Gatineau Airport;Gatineau;Canada;YND
96;Matagami Airport;Matagami;Canada;YNM
97;Old Crow Airport;Old Crow;Canada;YOC
98;CFB Cold Lake;Cold Lake;Canada;YOD
99;High Level Airport;High Level;Canada;YOJ
100;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;YOW
101;Prince Albert Glass Field;Prince Albert;Canada;YPA
102;Peace River Airport;Peace River;Canada;YPE
103;Southport Airport;Portage-la-prairie;Canada;YPG
104;Pitt Meadows Airport;Pitt Meadows;Canada;\N
105;Pickle Lake Airport;Pickle Lake;Canada;YPL
106;Port Menier Airport;Port Menier;Canada;YPN
107;Peterborough Airport;Peterborough;Canada;YPQ
108;Prince Rupert Airport;Prince Pupert;Canada;YPR
109;Fort Chipewyan Airport;Fort Chipewyan;Canada;YPY
110;Muskoka Airport;Muskoka;Canada;YQA
111;Quebec Jean Lesage International Airport;Quebec;Canada;YQB
112;Red Deer Regional Airport;Red Deer Industrial;Canada;YQF
113;Windsor Airport;Windsor;Canada;YQG
114;Watson Lake Airport;Watson Lake;Canada;YQH
115;Kenora Airport;Kenora;Canada;YQK
116;Lethbridge County Airport;Lethbridge;Canada;YQL
117;Greater Moncton International Airport;Moncton;Canada;YQM
119;Comox Airport;Comox;Canada;YQQ
120;Regina International Airport;Regina;Canada;YQR
